time,open,high,low,close,volume
2023-01-01T00:00:00+00:00,1.1,1.100070484053852,1.0999863200496722,1.100064208140067,396
2023-01-01T00:05:00+00:00,1.100064208140067,1.1001975294610902,1.10000153611129,1.1001938503884148,352
2023-01-01T00:10:00+00:00,1.1001938503884148,1.1001996446277498,1.1001657153676285,1.100177330254474,63
2023-01-01T00:15:00+00:00,1.100177330254474,1.10034478581878,1.1001475484483747,1.1002712515101927,409
2023-01-01T00:20:00+00:00,1.1002712515101927,1.100281083650236,1.1001407719787095,1.1002178657466186,53
2023-01-01T00:25:00+00:00,1.1002178657466186,1.100219496915307,1.1001117717980224,1.1001412179990822,266
2023-01-01T00:30:00+00:00,1.1001412179990822,1.1001657361257118,1.1000734021552323,1.1001170723745013,97
2023-01-01T00:35:00+00:00,1.1001170723745013,1.1001514311700644,1.1000663639575698,1.1000986585614796,226
2023-01-01T00:40:00+00:00,1.1000986585614796,1.1001536810127475,1.0999762323274378,1.0999841043962264,243
2023-01-01T00:45:00+00:00,1.0999841043962264,1.1000207544992864,1.099866782026947,1.0998865722770828,371
2023-01-01T00:50:00+00:00,1.0998865722770828,1.0999539787333545,1.0997013586110018,1.099770397857689,73
2023-01-01T00:55:00+00:00,1.099770397857689,1.09981596118951,1.0996398067206143,1.099712878703147,90
2023-01-01T01:00:00+00:00,1.099712878703147,1.0998915240360911,1.0996727868676954,1.0998123646123754,477
2023-01-01T01:05:00+00:00,1.0998123646123754,1.099905100818362,1.0997762663322626,1.0998733434896935,157
2023-01-01T01:10:00+00:00,1.0998733434896935,1.0999415470179519,1.0998065397609609,1.0998143440350185,375
2023-01-01T01:15:00+00:00,1.0998143440350185,1.099852767710792,1.0997159402431738,1.099787032742241,133
2023-01-01T01:20:00+00:00,1.099787032742241,1.0997963501084638,1.0996580874734512,1.0997261834807832,162
2023-01-01T01:25:00+00:00,1.0997261834807832,1.0997645996474668,1.0995836548165567,1.0996718422975877,447
2023-01-01T01:30:00+00:00,1.0996718422975877,1.099844154978725,1.0996546767915758,1.099812182947723,83
2023-01-01T01:35:00+00:00,1.099812182947723,1.0998412219347993,1.0996207314655617,1.0997368018914067,498
2023-01-01T01:40:00+00:00,1.0997368018914067,1.0997706742813311,1.0996226385137395,1.0997265620760577,379
